ISSN,E-ISSN,Başlık
"1300-7378",,"3 P/ Psikiyatri Psikoloji Psikofarmakoloji Dergisi"
,"2458-9586","7tepe Klinik"
"2564-7474","2564-7474","A|Z ITU Mimarlık Fakültesi Dergisi"
"1303-0493","2148-4929","Abant İzzet Baysal Üniversitesi Eğitim Fakültesi Dergisi"
"1303-0035","2147-3064","Abant İzzet Baysal Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2757-9425","Abant Sosyal Bilimler Dergisi"
,"2147-1800","Abant Tıp Dergisi"
"2147-4575",,"ACADEMIC PLATFORM-JOURNAL OF ENGINEERING AND SCIENCE"
,"2822-2385","Academic Platform journal of engineering and smart systems (Online)"
,"2667-5684","Acarological Studies"
"1309-470X","1309-5994","Acıbadem Üniversitesi Sağlık Bilimleri Dergisi"
,"2651-5474","Acta Aquatica Turcica"
,"3061-9947","Acta haematologica oncologica Turcica"
,"2602-3563","Acta Infologica"
,"2147-9488","Acta Medica"
,"2587-0319","Acta Medica Alanya"
,"2148-2357","Acta Medica Anatolia"
,"2717-8994","Acta Medica Nicomedia"
,"2147-690X","Acta Odontologica Turcica"
,"2148-7669","ACTA ONCOLOGICA TURCICA"
"1017-995X",,"Acta Orthopaedica et Traumatologica Turcica"
"2618-639X","2619-905X","Acta Veterinaria Eurasia"
"1011-730X","2717-6614","Adalet Dergisi"
"1301-2746",,"Adalya"
"2146-4936",,"ADAM AKADEMİ Sosyal Bilimler Dergisi"
"2148-7286","2149-1305","Addicta: The Turkish Journal on Addictions"
,"2149-2727","Adıyaman Üniversitesi Eğitim Bilimleri Dergisi"
"2147-1630","2146-586X","Adıyaman Üniversitesi Fen Bilimleri Dergisi"
,"2149-0309","Adıyaman Üniversitesi Mühendislik Bilimleri Dergisi"
,"2458-9179","Adıyaman Üniversitesi Sağlık Bilimleri Dergisi"
"1308-9196","1308-7363","Adıyaman Üniversitesi Sosyal Bilimler Enstitü Dergisi"
"1303-6793",,"Adli Bilimler Dergisi"
"1300-865X","2149-4533","Adli Tıp Bülteni"
"1018-5275",,"Adli Tıp Dergisi"
"1302-6755",,"Adnan Menderes Üniversitesi Tıp Fakültesi Dergisi"
"1304-7787",,"Adnan Menderes Üniversitesi Ziraat Fakültesi Dergisi"
,"1307-3540","ADO Klinik Bilimler Dergisi (online)"
"2147-9100","2148-7316","Advances in Hospitality and Tourism Research (AHTR)"
,"2636-8390","Afet ve Risk Dergisi"
"1302-3187",,"Afyon Kocatepe Üniversitesi Fen Bilimleri Dergisi"
,"2149-3367","Afyon Kocatepe Üniversitesi Fen ve Mühendislik Bilimleri Dergisi"
,"2651-4117","Afyon Kocatepe Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2667-4785","Afyon Kocatepe Üniversitesi İslami İlimler Fakültesi Dergisi"
,"2149-4894","Afyon Kocatepe Üniversitesi Sosyal Bilimler Dergisi"
"1300-0012",,"Ağrı"
,"2619-9203","Ahi Evran Medical Journal"
,"2147-1037","Ahi Evran Üniversitesi Kırşehir Eğitim Fakültesi Dergisi"
,"2149-0767","Ahi Evran Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2459-1505","Aile Hekimliği ve Palyatif Bakım"
"1303-0256",,"Aile ve Toplum"
,"1309-1581","AJIT-e: Bilişim Teknolojileri Online Dergisi"
"2458-7885","2651-2505","AKADEMİAR Akademik İslam Araştırmaları Dergisi"
"1305-760X","1309-8845","Akademik Acil Tıp Dergisi"
"2146-2925","2146-2925","Akademik Acil Tıp Olgu Sunumları Dergisi"
"1302-2431",,"Akademik Araştırmalar Dergisi"
,"2149-1585","Akademik Araştırmalar ve Çalışmalar Dergisi"
,"2618-6349","Akademik Dil ve Edebiyat Dergisi"
"1303-6629","2149-0600","Akademik Gastroenteroloji Dergisi"
"1304-7582","2148-015X","Akademik Gıda"
"2148-5933",,"Akademik Hassasiyetler"
,"2602-3016","Akademik İncelemeler Dergisi"
,"2687-5810","Akademik Siyer Dergisi"
,"2146-1740","Akademik Yaklaşımlar Dergisi"
"2147-6403","2618-5881","Akademik Ziraat Dergisi"
"1309-0682",,"Akdeniz Eğitim Araştırmaları Dergisi"
"1302-9975","2667-7229","Akdeniz İİBF Dergisi"
,"2619-9718","Akdeniz İletişim"
,"2148-144X","Akdeniz İnsani Bilimler Dergisi"
,"2636-7998","Akdeniz Kadın Çalışmaları ve Toplumsal Cinsiyet Dergisi"
"1307-9700","2458-9683","Akdeniz Sanat Dergisi"
,"2687-2781","Akdeniz Tıp Dergisi"
,"2147-3854","Akdeniz Üniversitesi Hukuk Fakültesi Dergisi"
"1301-2215",,"Akdeniz Üniversitesi Ziraat Fakültesi Dergisi"
,"2636-820X","Akıllı Ulaşım Sistemleri ve Uygulamaları Dergisi (Online)"
,"2651-4192","Alanya Akademik Bakış"
,"2757-8097","Alatarım"
"2146-4421",,"Alevilik Araştırmaları Dergisi"
,"2587-2249","Alınteri Zirai Bilimler Dergisi"
"2146-7757",,"All Azimuth: A Journal of Foreign Policy and Peace"
,"2619-9890","Alman Dili ve Edebiyatı Dergisi - Studien zur deutschen Sprache und Literatur"
,"2757-8038","Alpha psychiatry (Online)"
,"2148-2225","Alphanumeric Journal"
,"1309-0593","Alternatif Politika"
,"2667-6710","Amasya ilahiyat dergisi"
,"2618-6497","Amasya Üniversitesi İlahiyat Fakültesi Dergisi"
"1300-1795",,"Amme İdaresi Dergisi"
"2146-0957","2146-5703","An International Journal of Optimization and Control: Theories & Applications (IJOCTA)"
,"2147-6020","Ana Dili Eğitimi Dergisi"
"0570-0116","2667-5129","Anadolu"
,"2667-629X","Anadolu Araştırmaları"
"1300-0225","2667-6087","ANADOLU Ege Tarımsal Araştırma Enstitüsü Dergisi"
"1309-5471","2687-2498","Anadolu Hemşirelik ve Sağlık Bilimleri Dergisi"
,"2146-4014","Anadolu Journal of Educational Sciences International"
"1302-8723","1308-0032","Anadolu Kardiyoloji Dergisi"
"2149-5254","2458-8849","ANADOLU KLİNİĞİ TIP BİLİMLERİ DERGİSİ"
,"2587-0491","Anadolu Kültürel Araştırmalar Dergisi"
,"2564-7660","Anadolu Orman Araştırmaları Dergisi"
"1302-6631",,"Anadolu Psikiyatri Dergisi"
"1308-8750","1308-8769","Anadolu Tarım Bilimleri Dergisi"
"1302-1184",,"Anadolu Tıp Dergisi"
,"2146-0205","Anadolu Üniversitesi Bilim ve Teknoloji Dergisi :A-Uygulamalı Bilimler ve Mühendislik"
,"2146-0191","Anadolu Üniversitesi Bilim ve Teknoloji Dergisi :B-Teorik Bilimler"
"2146-0213",,"Anadolu Üniversitesi Bilim ve Teknoloji Dergisi :C-Yaşam Bilimleri ve Biyoteknoloji"
"1300-8692",,"Anadolu Üniversitesi Fen Fakültesi Dergisi"
,"2687-394X","Anadolu Üniversitesi Hukuk Fakültesi Dergisi"
,"2687-184X","Anadolu Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2667-8683","Anadolu Üniversitesi Sosyal Bilimler Dergisi"
"2618-6004","2636-8188","Anadolu ve Balkan Araştırmaları Dergisi"
"1300-4220",,"Anatolia: Turizm Araştırmaları Dergisi"
,"2458-8474","Anatolian Bryology"
,"2718-0115","Anatolian Current Medical Journal"
,"2602-2818","Anatolian Journal of Botany"
,"2651-4311","Anatolian Journal of Emergency Medicine"
,"2757-6051","Anatolian Journal of Health Research"
,"1308-8459","Anatomy"
"2147-1061",,"Anayasa Hukuku Dergisi"
"1301-1200",,"Anayasa yargısı"
,"2587-2524","Androloji Bülteni"
,"2149-4622","Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi"
,"2687-2242","Anestezi Dergisi"
,"2687-5330","Animal Health, Production and Hygiene"
"2147-8724",,"Ankara Araştırmaları Dergisi"
"1303-2518",,"Ankara Avrupa Çalışmaları Dergisi"
"1308-0636",,"Ankara Bar Review"
"1300-9885",,"Ankara Barosu Dergisi"
"1304-6187",,"Ankara Eğitim ve Araştırma Hastanesi Tıp Dergisi"
"2651-4141","2667-4068","Ankara Hacı Bayram Veli Üniversitesi Hukuk Fakültesi Dergisi"
,"2667-405X","Ankara Hacı Bayram Veli Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi (Online)"
,"2687-1912","Ankara Hacı Bayram Veli Üniversitesi Turizm Fakültesi Dergisi"
"1305-0575",,"Ankara Law Review"
,"2148-4570","Ankara Medical Journal"
,"2667-6117","Ankara Sosyal Bilimler Üniversitesi Hukuk Fakültesi dergisi"
"1016-8710","2619-9882","Ankara Üniversitesi Diş Hekimliği Fakültesi Dergisi"
,"2564-6524","Ankara Üniversitesi Eczacılık Fakültesi Dergisi"
"1301-3718","2458-8342","Ankara Üniversitesi Eğitim Bilimleri Fakültesi Dergisi"
,"2149-8261","Ankara Üniversitesi Eğitim Bilimleri Fakültesi Özel Eğitim Dergisi"
"1301-1308","3108-4311","Ankara Üniversitesi Hukuk Fakültesi Dergisi"
"1301-0522","1309-2057","Ankara Üniversitesi İlahiyat Fakültesi Dergisi"
"2148-7219","2458-9209","Ankara Üniversitesi İLEF Dergisi"
"0378-2921","1309-1034","Ankara Üniversitesi SBF Dergisi"
,"1307-5608","Ankara Üniversitesi Tıp Fakültesi Mecmuası"
,"1308-2817","Ankara Üniversitesi Veteriner Fakültesi Dergisi"
"1301-3114","2667-7652","ANKEM Dergisi"
"0578-9745","2687-4113","Annales de la Faculté de Droit d Istanbul"
,"2636-7688","Annals of Medical Research"
"1300-0683",,"Annals of Medical Sciences"
"2587-2419",,"Antalya Bilim Üniversitesi Hukuk Fakültesi Dergisi"
"0378-2891","2687-4296","Antropoloji"
"2618-6381",,"Aquaculture Studies"
,"2602-473X","AQUATIC SCIENCES and ENGINEERING"
,"2618-6365","Aquatic Research"
,"2146-5711","Araştırma Temelli Etkinlik Dergisi"
"2687-4520","2687-4482","Archives of Basic and Clinical Research"
,"2564-6567","Archives of Clinical and Experimental Medicine"
